Date,Open Price,High Price,Low Price,Close Price,Adj Close,Average Price,Volume
03-09-21,3825,3856.9,3804.55,3835,3842.05,3830.31,1746812
06-09-21,3849.7,3877.6,3814,3847.9,3852,3842.72,1723693
07-09-21,3864,3869.95,3808.25,3823.85,3815.9,3834.63,1585039
08-09-21,3810,3815,3756,3777,3774.15,3798.07,4147175
09-09-21,3789.7,3808.7,3765,3793,3791.4,3787.1,1441148
13-09-21,3767,3852.4,3767,3841.5,3845.35,3828.3,1691473
14-09-21,3849.95,3896.5,3825,3880.1,3885.9,3873.73,1991188
15-09-21,3882.1,3980,3866,3950,3954.55,3929.4,2461369
16-09-21,3930,3981.75,3892.1,3903.05,3903.3,3931.95,2946666
17-09-21,3920,3945,3805,3826.55,3827.85,3851.08,6477148
20-09-21,3809,3871,3807.85,3820.05,3823.5,3837.22,2002008
21-09-21,3858,3871.55,3821.65,3861.95,3862.95,3850.74,1568129
22-09-21,3862.5,3896.85,3852.45,3856.75,3862.15,3873.71,1744067
23-09-21,3870,3879,3835,3872,3869.25,3859.54,2003869
24-09-21,3890,3944.4,3855,3878.75,3871.3,3908.95,2320754
27-09-21,3900,3904,3802.9,3839,3836.95,3842.81,1673362
28-09-21,3850,3850,3751.25,3777.05,3779.15,3784.75,2253075
29-09-21,3759.8,3806,3722.15,3794.55,3791.9,3767.14,2489161
30-09-21,3805,3805,3750.1,3778.7,3775.55,3773.28,2252412
01-10-21,3781.75,3810,3725,3728.65,3730.2,3747.99,1578374
04-10-21,3730.2,3730.2,3730.2,3730.2,3730.2,3730.2,875147
04-10-21,3724.8,3783.65,3707.45,3779,3773.3,3762.58,1356860
05-10-21,3754,3840,3741.6,3839.1,3833.3,3785.15,1877966
06-10-21,3836,3857.45,3795,3813.8,3810.9,3830.18,1678154
07-10-21,3830,3899,3820.05,3898,3892.9,3868.01,1647233
08-10-21,3925,3989.9,3900,3943,3935.65,3947.83,2934339
11-10-21,3755,3757.5,3660,3687.95,3685.6,3702.67,11845402
12-10-21,3706,3707,3630.6,3656.2,3652.85,3658.54,5752877
13-10-21,3650,3675.45,3645,3658.05,3655.2,3655.85,3545655
14-10-21,3625,3670,3608.2,3614.8,3611.45,3626.77,6442299
18-10-21,3603.45,3652.7,3601.45,3649,3647.15,3631.23,3590107
19-10-21,3669,3690.1,3625.2,3634.45,3634.15,3661.85,3135441
20-10-21,3612,3630,3578.3,3607.95,3608.85,3606.05,2933693
21-10-21,3604.1,3607.45,3511.25,3532.85,3532.5,3546.27,4871211
